rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
73,Frank Kaminsky,PF,CHA,47,16.1,0.07,1.18,1.25,1.30,2019
75,Patrick Beverley,PG,LAC,78,27.4,0.20,1.00,1.20,3.80,2019
77,Ben Simmons,PG,PHI,79,34.2,2.10,-0.99,1.12,4.88,2019
79,Ryan Broekhoff,G,DAL,42,10.8,-0.88,1.94,1.07,0.65,2019
42,Jaylen Brown,SG,BOS,74,25.9,0.20,1.60,1.80,4.13,2019
44,Ben McLemore,SG,SAC,19,8.3,0.49,1.30,1.79,0.36,2019
46,Kawhi Leonard,SF,TOR,60,34.0,1.64,0.13,1.77,4.52,2019
48,CJ McCollum,SG,POR,70,33.9,1.20,0.53,1.73,5.15,2019
50,Danny Green,F,TOR,80,27.7,1.22,0.47,1.69,4.87,2019
52,Myles Turner,C,IND,74,28.6,-1.11,2.72,1.61,4.39,2019
54,Josh Richardson,SG,MIA,73,34.8,-0.62,2.17,1.55,5.08,2019
56,Khris Middleton,SF,MIL,77,31.1,2.48,-0.96,1.52,5.02,2019
58,Josh Hart,SG,LAL,67,25.6,-0.70,2.18,1.48,3.48,2019
60,Robert Covington,PF,PHI/MIN,35,34.4,-0.07,1.50,1.43,2.40,2019
62,Nikola Mirotic,F,NO/MIL,46,27.1,2.53,-1.11,1.42,2.55,2019
64,Malcolm Brogdon,PG,MIL,64,28.6,1.45,-0.05,1.40,3.61,2019
66,Andre Iguodala,F,GS,68,23.2,-1.08,2.46,1.39,2.88,2019
68,Draymond Green,PF,GS,66,31.3,0.79,0.56,1.35,4.01,2019
70,Luke Kornet,C,NY,46,17.0,-0.79,2.06,1.27,1.44,2019
72,Jimmy Butler,SF,MIN/PHI,65,33.6,-0.05,1.31,1.26,4.12,2019
74,Devin Booker,SG,PHX,64,35.0,4.12,-2.87,1.25,4.14,2019
76,Wayne Ellington,SG,MIA/DET,53,24.5,0.78,0.35,1.14,2.24,2019
78,Luka Doncic,PG,DAL,72,32.2,1.87,-0.77,1.10,3.95,2019
80,Goran Dragic,PG,MIA,36,27.5,1.91,-0.86,1.05,1.68,2019
81,Jayson Tatum,SF,BOS,79,31.1,-0.21,1.26,1.05,4.13,2019
83,Shabazz Napier,G,BKN,56,17.6,0.04,0.98,1.02,1.46,2019
85,Bam Adebayo,C,MIA,82,23.3,-1.58,2.55,0.98,2.94,2019
87,D.J. Augustin,G,ORL,81,28.0,0.98,-0.04,0.94,3.60,2019
89,Richaun Holmes,F,PHX,70,16.9,-1.40,2.33,0.93,1.81,2019
91,Jamal Murray,PG,DEN,75,32.6,0.27,0.60,0.87,3.70,2019
93,Malcolm Miller,F,TOR,10,6.7,-0.88,1.75,0.86,0.08,2019
95,Yogi Ferrell,PG,SAC,71,15.0,0.23,0.62,0.85,1.62,2019
